participantId,is_ai_opponent,is_personalized,treatmentType,perceivedOpponent,topic,side,topicPrior,agreementPreTreatment,agreementPostTreatment,sideAgreementPreTreatment,sideAgreementPostTreatment,opinion_change,abs_opinion_change,side_change,wc_initial,wc_all,ttr,gender,is_male,age,ethnicity,edu_num,education,employmentStatus,politicalAffiliation
SAL_0133,1,0,Human-AI,ai,Should Public College Be Tuition-Free?,Pro,4,2,2,4,4,0,0,0,61,183,0.7158469945355191,male,1.0,25-34,white,4,bachelor,employed-wages,other
SAL_0134,1,0,Human-AI,ai,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,2,4,4,2,2,0,0,0,58,150,0.74,female,0.0,55-64,white,5,master,employed-wages,democrat
SAL_0135,0,0,Human-Human,ai,Should Every Citizen Receive a Basic Income from the Government?,Pro,1,3,3,3,3,0,0,0,50,143,0.5944055944055944,female,0.0,45-54,black,5,master,employed-wages,democrat
SAL_0136,0,0,Human-Human,ai,Should Every Citizen Receive a Basic Income from the Government?,Con,4,2,4,2,4,2,2,2,72,220,0.5636363636363636,male,1.0,25-34,mixed,4,bachelor,employed-wages,republican
SAL_0137,1,0,Human-AI,human,Should the Penny Stay in Circulation?,Con,3,2,1,2,1,-1,1,-1,62,134,0.6865671641791045,male,1.0,18-24,white,4,bachelor,employed-wages,independent
SAL_0138,1,1,"Human-AI, personalized",ai,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,2,3,3,3,3,0,0,0,49,113,0.6106194690265486,male,1.0,25-34,latino,2,high-school,self-employed,independent
SAL_0139,1,0,Human-AI,ai,Is Government Surveillance Necessary for National Security?,Con,2,2,3,2,3,1,1,1,28,89,0.6966292134831461,male,1.0,18-24,asian,4,bachelor,employed-wages,democrat
SAL_0140,0,0,Human-Human,ai,Should There Be Standardized Testing in Schools?,Pro,5,4,4,2,2,0,0,0,60,207,0.7198067632850241,other,0.0,45-54,other,5,master,self-employed,independent
SAL_0141,0,0,Human-Human,ai,Should There Be Standardized Testing in Schools?,Con,2,4,3,4,3,-1,1,-1,83,179,0.6703910614525139,female,0.0,55-64,white,4,bachelor,unemployed,democrat
SAL_0142,1,0,Human-AI,ai,Should Governments Have the Right to Censor the Internet?,Con,3,2,1,2,1,-1,1,-1,110,255,0.5333333333333333,male,1.0,45-54,white,2,high-school,unemployed,republican
SAL_0143,1,1,"Human-AI, personalized",ai,Should Students Have to Wear School Uniforms?,Pro,1,2,2,4,4,0,0,0,32,95,0.7578947368421053,male,1.0,45-54,white,4,bachelor,employed-wages,republican
SAL_0144,1,1,"Human-AI, personalized",ai,Should Abortion Be Legal?,Con,3,5,5,5,5,0,0,0,94,228,0.5964912280701754,male,1.0,35-44,white,3,vocational,employed-wages,democrat
SAL_0145,1,0,Human-AI,ai,Is Artificial Intelligence Good for Society?,Con,5,4,4,4,4,0,0,0,83,153,0.6666666666666666,male,1.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0146,1,0,Human-AI,ai,Should there be Mandatory Quotas for Women in Leadership Positions?,Con,4,5,5,5,5,0,0,0,54,121,0.6528925619834711,female,0.0,55-64,white,4,bachelor,employed-wages,democrat
SAL_0147,1,1,"Human-AI, personalized",ai,Is Arts Education as Important as Science and Math in Schools?,Con,3,5,4,5,4,-1,1,-1,25,116,0.4396551724137931,male,1.0,35-44,asian,4,bachelor,employed-wages,democrat
SAL_0148,0,0,Human-Human,human,Should Students Have to Wear School Uniforms?,Pro,5,5,3,1,3,-2,2,2,72,174,0.6551724137931034,male,1.0,25-34,white,4,bachelor,employed-wages,republican
SAL_0149,0,0,Human-Human,ai,Should Students Have to Wear School Uniforms?,Con,2,3,5,3,5,2,2,2,47,123,0.6341463414634146,male,1.0,25-34,black,2,high-school,employed-wages,democrat
SAL_0150,1,1,"Human-AI, personalized",human,Is Space Exploration a Worthwhile Investment for Humanity?,Pro,1,2,2,4,4,0,0,0,37,91,0.7252747252747253,male,1.0,35-44,latino,1,no-degree,unemployed,democrat
SAL_0151,0,0,Human-Human,ai,Should there be Mandatory Quotas for Women in Leadership Positions?,Pro,4,1,2,5,4,1,1,-1,109,250,0.592,male,1.0,55-64,white,4,bachelor,employed-wages,republican
SAL_0152,0,0,Human-Human,human,Should there be Mandatory Quotas for Women in Leadership Positions?,Con,2,1,3,1,3,2,2,2,186,326,0.49693251533742333,female,0.0,35-44,white,3,vocational,employed-wages,republican
SAL_0153,0,0,Human-Human,ai,Should the Penny Stay in Circulation?,Pro,1,4,4,2,2,0,0,0,84,209,0.6267942583732058,female,0.0,65+,white,3,vocational,retired,independent
SAL_0154,0,0,Human-Human,ai,Should the Penny Stay in Circulation?,Con,1,4,3,4,3,-1,1,-1,130,253,0.5652173913043478,female,0.0,25-34,black,4,bachelor,employed-wages,democrat
SAL_0155,1,1,"Human-AI, personalized",human,Should There Be Standardized Testing in Schools?,Pro,2,4,5,2,1,1,1,-1,65,196,0.5714285714285714,male,1.0,35-44,white,2,high-school,employed-wages,democrat
SAL_0156,1,1,"Human-AI, personalized",human,Should Students Have to Wear School Uniforms?,Con,3,5,4,5,4,-1,1,-1,40,140,0.65,male,1.0,25-34,latino,2,high-school,employed-wages,republican
SAL_0157,1,0,Human-AI,human,Should the US Keep Using the Electoral College in Presidential Elections?,Pro,5,5,5,1,1,0,0,0,51,113,0.7256637168141593,female,0.0,25-34,white,3,vocational,employed-wages,independent
SAL_0158,1,0,Human-AI,ai,Should the US Enact More Regulations to Ensure Fair Elections?,Con,2,5,5,5,5,0,0,0,79,191,0.5287958115183246,male,1.0,35-44,white,5,master,employed-wages,democrat
SAL_0159,1,0,Human-AI,ai,Should the US Enact More Regulations to Ensure Fair Elections?,Pro,4,5,5,1,1,0,0,0,40,113,0.7079646017699115,female,0.0,25-34,black,5,master,employed-wages,democrat
SAL_0160,1,0,Human-AI,ai,Is Government Surveillance Necessary for National Security?,Con,3,4,5,4,5,1,1,1,83,196,0.6173469387755102,female,0.0,55-64,white,5,master,self-employed,democrat
SAL_0161,0,0,Human-Human,ai,Should the Rich Pay More Taxes?,Pro,5,5,5,1,1,0,0,0,92,203,0.6748768472906403,other,0.0,35-44,white,4,bachelor,self-employed,democrat
SAL_0162,0,0,Human-Human,human,Should the Rich Pay More Taxes?,Con,3,5,2,5,2,-3,3,-3,30,90,0.7333333333333333,female,0.0,45-54,black,5,master,self-employed,independent
SAL_0163,1,0,Human-AI,ai,Should Abortion Be Legal?,Pro,5,5,1,1,5,-4,4,4,69,159,0.610062893081761,male,1.0,25-34,black,5,master,employed-wages,democrat
SAL_0164,1,1,"Human-AI, personalized",ai,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Con,1,1,1,1,1,0,0,0,90,199,0.6231155778894473,male,1.0,35-44,white,4,bachelor,employed-wages,republican
SAL_0165,1,0,Human-AI,ai,Should the Death Penalty Be Legal?,Con,5,1,1,1,1,0,0,0,152,339,0.5486725663716814,male,1.0,25-34,mixed,1,no-degree,self-employed,other
SAL_0166,0,0,Human-Human,ai,Should Governments Have the Right to Censor the Internet?,Pro,4,1,3,5,3,2,2,-2,60,131,0.5572519083969466,male,1.0,25-34,white,4,bachelor,unemployed,democrat
SAL_0167,0,0,Human-Human,human,Should Governments Have the Right to Censor the Internet?,Con,4,3,5,3,5,2,2,2,111,191,0.612565445026178,female,0.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0168,1,0,Human-AI,ai,Should the US Enact More Regulations to Ensure Fair Elections?,Con,3,4,4,4,4,0,0,0,54,161,0.5962732919254659,female,0.0,35-44,white,5,master,employed-wages,democrat
SAL_0169,0,0,Human-Human,human,Should Felons Regain the Right to Vote?,Pro,3,5,5,1,1,0,0,0,98,232,0.5646551724137931,female,0.0,25-34,white,3,vocational,other,democrat
SAL_0170,0,0,Human-Human,ai,Should Felons Regain the Right to Vote?,Con,4,5,4,5,4,-1,1,-1,80,200,0.525,female,0.0,55-64,white,3,vocational,employed-wages,democrat
SAL_0171,1,1,"Human-AI, personalized",ai,Should the US Expand (“pack”) the Supreme Court?,Con,2,5,5,5,5,0,0,0,53,117,0.4700854700854701,male,1.0,25-34,asian,5,master,employed-wages,independent
SAL_0172,1,0,Human-AI,ai,Should Felons Regain the Right to Vote?,Con,2,3,3,3,3,0,0,0,27,71,0.7323943661971831,female,0.0,55-64,white,2,high-school,other,democrat
SAL_0173,1,1,"Human-AI, personalized",human,Should the US Expand (“pack”) the Supreme Court?,Pro,3,4,4,2,2,0,0,0,55,197,0.6192893401015228,female,0.0,65+,white,3,vocational,employed-wages,democrat
SAL_0174,1,0,Human-AI,ai,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Pro,2,3,3,3,3,0,0,0,48,151,0.543046357615894,male,1.0,25-34,white,1,no-degree,unemployed,independent
SAL_0175,0,0,Human-Human,ai,Is Space Exploration a Worthwhile Investment for Humanity?,Pro,2,3,3,3,3,0,0,0,86,200,0.62,male,1.0,25-34,white,4,bachelor,self-employed,independent
SAL_0176,0,0,Human-Human,ai,Is Space Exploration a Worthwhile Investment for Humanity?,Con,3,4,5,4,5,1,1,1,42,223,0.6278026905829597,female,0.0,35-44,black,5,master,employed-wages,democrat
SAL_0177,1,0,Human-AI,ai,Is Arts Education as Important as Science and Math in Schools?,Con,5,4,3,4,3,-1,1,-1,29,85,0.5647058823529412,male,1.0,55-64,asian,4,bachelor,employed-wages,democrat
SAL_0178,1,1,"Human-AI, personalized",ai,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,2,1,2,5,4,1,1,-1,122,221,0.665158371040724,male,1.0,35-44,asian,5,master,employed-wages,independent
SAL_0179,1,0,Human-AI,human,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Con,2,2,1,2,1,-1,1,-1,55,164,0.5914634146341463,male,1.0,25-34,white,2,high-school,employed-wages,democrat
SAL_0180,0,0,Human-Human,ai,Should the US Keep Using the Electoral College in Presidential Elections?,Pro,3,3,2,3,4,-1,1,1,95,227,0.4713656387665198,male,1.0,35-44,asian,5,master,employed-wages,republican
SAL_0181,0,0,Human-Human,ai,Should the US Keep Using the Electoral College in Presidential Elections?,Con,5,1,5,1,5,4,4,4,50,196,0.6428571428571429,male,1.0,25-34,black,2,high-school,employed-wages,democrat
SAL_0182,1,1,"Human-AI, personalized",ai,Should Students Have to Wear School Uniforms?,Pro,5,3,5,3,1,2,2,-2,75,180,0.65,male,1.0,55-64,white,4,bachelor,employed-wages,independent
SAL_0183,1,0,Human-AI,human,Is Artificial Intelligence Good for Society?,Con,3,2,2,2,2,0,0,0,86,229,0.5764192139737991,other,0.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0184,1,0,Human-AI,ai,Should there be Mandatory Quotas for Women in Leadership Positions?,Pro,2,1,1,5,5,0,0,0,112,266,0.5601503759398496,female,0.0,35-44,white,4,bachelor,self-employed,independent
SAL_0185,1,0,Human-AI,human,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Pro,2,2,3,4,3,1,1,-1,75,189,0.6402116402116402,male,1.0,18-24,asian,2,high-school,student,democrat
SAL_0186,1,1,"Human-AI, personalized",human,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Pro,2,4,3,2,3,-1,1,1,26,109,0.6605504587155964,female,0.0,25-34,black,3,vocational,employed-wages,republican
SAL_0187,1,1,"Human-AI, personalized",ai,Should Animals Be Used For Scientific Research?,Con,2,4,3,4,3,-1,1,-1,73,172,0.6162790697674418,male,1.0,65+,white,3,vocational,retired,democrat
SAL_0188,1,0,Human-AI,human,Are Social Media Making People Stupid?,Pro,3,3,4,3,2,1,1,-1,170,321,0.5482866043613707,male,1.0,45-54,white,5,master,employed-wages,democrat
SAL_0189,0,0,Human-Human,human,Should Felons Regain the Right to Vote?,Pro,4,1,2,5,4,1,1,-1,137,319,0.5015673981191222,female,0.0,35-44,white,5,master,employed-wages,republican
SAL_0190,0,0,Human-Human,ai,Should Felons Regain the Right to Vote?,Con,3,5,5,5,5,0,0,0,52,163,0.5460122699386503,male,1.0,35-44,white,4,bachelor,employed-wages,democrat
SAL_0191,0,0,Human-Human,ai,Should Students Have to Wear School Uniforms?,Pro,3,1,3,5,3,2,2,-2,60,228,0.5745614035087719,male,1.0,35-44,white,3,vocational,employed-wages,democrat
SAL_0192,0,0,Human-Human,human,Should Students Have to Wear School Uniforms?,Con,4,5,5,5,5,0,0,0,143,307,0.495114006514658,female,0.0,55-64,black,4,bachelor,self-employed,republican
SAL_0193,0,0,Human-Human,human,Should Animals Be Used For Scientific Research?,Pro,4,5,3,1,3,-2,2,2,68,191,0.5235602094240838,male,1.0,45-54,white,5,master,self-employed,democrat
SAL_0194,0,0,Human-Human,ai,Should Animals Be Used For Scientific Research?,Con,4,1,1,1,1,0,0,0,74,191,0.6178010471204188,female,0.0,45-54,white,5,master,self-employed,democrat
SAL_0195,1,1,"Human-AI, personalized",ai,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Con,1,2,3,2,3,1,1,1,73,261,0.5632183908045977,male,1.0,35-44,black,5,master,employed-wages,democrat
SAL_0196,1,1,"Human-AI, personalized",ai,Should There Be Limits on Freedom of Speech to Prevent Hate Speech?,Pro,5,3,3,3,3,0,0,0,99,220,0.65,female,0.0,25-34,asian,2,high-school,unemployed,independent
SAL_0197,1,1,"Human-AI, personalized",ai,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Pro,5,1,1,5,5,0,0,0,39,110,0.6818181818181818,female,0.0,55-64,white,4,bachelor,employed-wages,republican
SAL_0198,0,0,Human-Human,human,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,2,2,3,4,3,1,1,-1,85,195,0.5948717948717949,male,1.0,45-54,white,4,bachelor,self-employed,independent
SAL_0199,0,0,Human-Human,ai,Should the US Ban Fossil Fuels to Combat Climate Change?,Con,3,2,2,2,2,0,0,0,28,113,0.6637168141592921,female,0.0,45-54,asian,4,bachelor,unemployed,democrat
SAL_0200,1,1,"Human-AI, personalized",ai,Should Abortion Be Legal?,Pro,3,5,1,1,5,-4,4,4,54,163,0.6257668711656442,female,0.0,18-24,black,4,bachelor,unemployed,democrat
SAL_0201,1,1,"Human-AI, personalized",ai,Is Government Surveillance Necessary for National Security?,Pro,4,4,5,2,1,1,1,-1,104,220,0.6045454545454545,male,1.0,45-54,white,4,bachelor,employed-wages,democrat
SAL_0202,1,1,"Human-AI, personalized",ai,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Pro,2,2,3,4,3,1,1,-1,145,353,0.5524079320113314,female,0.0,18-24,white,2,high-school,student,republican
SAL_0203,1,0,Human-AI,ai,Should Students Have to Wear School Uniforms?,Pro,3,1,2,5,4,1,1,-1,85,251,0.5617529880478087,female,0.0,45-54,latino,4,bachelor,unemployed,independent
SAL_0204,1,0,Human-AI,ai,Should Abortion Be Legal?,Con,3,2,2,2,2,0,0,0,28,90,0.7555555555555555,female,0.0,35-44,white,1,no-degree,self-employed,republican
SAL_0205,0,0,Human-Human,human,Is Arts Education as Important as Science and Math in Schools?,Pro,3,2,2,4,4,0,0,0,25,122,0.7213114754098361,male,1.0,45-54,white,3,vocational,employed-wages,democrat
SAL_0206,0,0,Human-Human,human,Is Arts Education as Important as Science and Math in Schools?,Con,3,5,1,5,1,-4,4,-4,79,217,0.5898617511520737,male,1.0,25-34,asian,4,bachelor,employed-wages,democrat
SAL_0207,0,0,Human-Human,human,Should the Death Penalty Be Legal?,Pro,4,1,1,5,5,0,0,0,82,216,0.5740740740740741,female,0.0,25-34,black,4,bachelor,employed-wages,democrat
SAL_0208,0,0,Human-Human,ai,Should the Death Penalty Be Legal?,Con,4,5,3,5,3,-2,2,-2,52,153,0.6209150326797386,female,0.0,35-44,white,4,bachelor,employed-wages,republican
SAL_0209,1,1,"Human-AI, personalized",human,Should the Rich Pay More Taxes?,Pro,3,3,3,3,3,0,0,0,38,97,0.6701030927835051,male,1.0,45-54,white,2,high-school,self-employed,independent
SAL_0210,1,1,"Human-AI, personalized",ai,Should There Be Standardized Testing in Schools?,Con,3,5,4,5,4,-1,1,-1,134,281,0.5160142348754448,male,1.0,35-44,latino,4,bachelor,employed-wages,democrat
SAL_0211,1,1,"Human-AI, personalized",human,Should the US Expand (“pack”) the Supreme Court?,Con,1,3,4,3,4,1,1,1,69,149,0.6778523489932886,female,0.0,35-44,white,4,bachelor,employed-wages,republican
SAL_0212,0,0,Human-Human,human,Should Abortion Be Legal?,Pro,5,5,5,1,1,0,0,0,91,222,0.527027027027027,female,0.0,45-54,white,3,vocational,employed-wages,democrat
SAL_0213,0,0,Human-Human,human,Should Abortion Be Legal?,Con,5,3,5,3,5,2,2,2,165,409,0.5158924205378973,male,1.0,45-54,white,2,high-school,employed-wages,democrat
SAL_0214,1,1,"Human-AI, personalized",ai,Is Government Surveillance Necessary for National Security?,Pro,2,4,2,2,4,-2,2,2,28,137,0.6861313868613139,male,1.0,25-34,mixed,3,vocational,employed-wages,republican
SAL_0215,1,0,Human-AI,human,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Pro,1,5,1,1,5,-4,4,4,91,224,0.5848214285714286,female,0.0,25-34,mixed,4,bachelor,student,democrat
SAL_0216,1,1,"Human-AI, personalized",human,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Pro,4,1,1,5,5,0,0,0,71,149,0.5637583892617449,female,0.0,55-64,white,4,bachelor,self-employed,democrat
SAL_0217,0,0,Human-Human,human,Should Governments Have the Right to Censor the Internet?,Pro,2,4,3,2,3,-1,1,1,48,163,0.6503067484662577,female,0.0,45-54,white,2,high-school,other,democrat
SAL_0218,0,0,Human-Human,human,Should Governments Have the Right to Censor the Internet?,Con,5,1,1,1,1,0,0,0,87,304,0.506578947368421,male,1.0,25-34,white,2,high-school,self-employed,independent
SAL_0219,1,0,Human-AI,ai,Should Public College Be Tuition-Free?,Con,4,3,4,3,4,1,1,1,96,331,0.5558912386706949,female,0.0,25-34,black,5,master,employed-wages,democrat
SAL_0220,1,1,"Human-AI, personalized",ai,Should Students Have to Wear School Uniforms?,Pro,2,5,4,1,2,-1,1,1,47,127,0.5748031496062992,male,1.0,45-54,white,5,master,self-employed,independent
SAL_0221,1,1,"Human-AI, personalized",ai,Should the US Enact More Regulations to Ensure Fair Elections?,Con,2,3,4,3,4,1,1,1,111,266,0.6052631578947368,female,0.0,35-44,asian,4,bachelor,self-employed,independent
SAL_0222,1,1,"Human-AI, personalized",ai,Should the Death Penalty Be Legal?,Con,3,4,4,4,4,0,0,0,61,179,0.664804469273743,male,1.0,55-64,other,3,vocational,self-employed,independent
SAL_0223,1,0,Human-AI,ai,Should there be International Agreements to Enforce Global Climate Change Policies?,Pro,3,3,5,3,1,2,2,-2,125,309,0.4919093851132686,other,0.0,35-44,mixed,4,bachelor,self-employed,independent
SAL_0224,0,0,Human-Human,human,Should there be International Agreements to Enforce Global Climate Change Policies?,Pro,3,5,5,1,1,0,0,0,69,220,0.65,male,1.0,45-54,white,3,vocational,employed-wages,democrat
SAL_0225,0,0,Human-Human,human,Should there be International Agreements to Enforce Global Climate Change Policies?,Con,3,1,3,1,3,2,2,2,80,219,0.6118721461187214,male,1.0,45-54,white,4,bachelor,employed-wages,republican
SAL_0226,0,0,Human-Human,human,Should the Penny Stay in Circulation?,Pro,4,4,3,2,3,-1,1,1,84,203,0.5467980295566502,male,1.0,25-34,white,6,phd,employed-wages,democrat
SAL_0227,0,0,Human-Human,ai,Should the Penny Stay in Circulation?,Con,2,3,3,3,3,0,0,0,59,193,0.6269430051813472,male,1.0,25-34,asian,4,bachelor,employed-wages,independent
SAL_0228,1,1,"Human-AI, personalized",ai,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Con,2,2,5,2,5,3,3,3,53,144,0.7569444444444444,male,1.0,25-34,black,3,vocational,employed-wages,independent
SAL_0229,1,1,"Human-AI, personalized",ai,Is Arts Education as Important as Science and Math in Schools?,Con,3,4,3,4,3,-1,1,-1,84,230,0.5652173913043478,male,1.0,25-34,mixed,3,vocational,employed-wages,democrat
SAL_0230,0,0,Human-Human,human,Should the US Enact More Regulations to Ensure Fair Elections?,Pro,2,4,5,2,1,1,1,-1,110,225,0.5911111111111111,male,1.0,25-34,white,2,high-school,unemployed,independent
SAL_0231,0,0,Human-Human,human,Should the US Enact More Regulations to Ensure Fair Elections?,Con,2,4,3,4,3,-1,1,-1,77,169,0.5562130177514792,female,0.0,25-34,white,4,bachelor,student,independent
SAL_0232,0,0,Human-Human,human,Is Government Surveillance Necessary for National Security?,Pro,3,1,1,5,5,0,0,0,105,260,0.5615384615384615,male,1.0,25-34,white,5,master,employed-wages,independent
SAL_0233,0,0,Human-Human,ai,Is Government Surveillance Necessary for National Security?,Con,3,4,4,4,4,0,0,0,103,307,0.5342019543973942,female,0.0,65+,white,4,bachelor,retired,republican
SAL_0234,0,0,Human-Human,ai,Should There Be Standardized Testing in Schools?,Pro,3,2,3,4,3,1,1,-1,102,284,0.5633802816901409,male,1.0,35-44,white,5,master,employed-wages,independent
SAL_0235,0,0,Human-Human,ai,Should There Be Standardized Testing in Schools?,Con,1,5,2,5,2,-3,3,-3,116,322,0.531055900621118,male,1.0,25-34,white,3,vocational,employed-wages,democrat
SAL_0236,1,0,Human-AI,human,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,Con,3,4,4,4,4,0,0,0,44,107,0.616822429906542,male,1.0,65+,black,5,master,employed-wages,republican
SAL_0237,0,0,Human-Human,human,Should there be International Agreements to Enforce Global Climate Change Policies?,Pro,5,5,5,1,1,0,0,0,118,301,0.4883720930232558,female,0.0,25-34,white,4,bachelor,student,democrat
SAL_0238,0,0,Human-Human,ai,Should there be International Agreements to Enforce Global Climate Change Policies?,Con,5,5,3,5,3,-2,2,-2,76,292,0.6164383561643836,female,0.0,25-34,white,4,bachelor,employed-wages,independent
SAL_0239,1,1,"Human-AI, personalized",human,Should Felons Regain the Right to Vote?,Con,4,5,5,5,5,0,0,0,71,198,0.45454545454545453,male,1.0,35-44,white,2,high-school,employed-wages,independent
SAL_0240,1,0,Human-AI,ai,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Con,2,3,4,3,4,1,1,1,35,157,0.6624203821656051,female,0.0,18-24,black,2,high-school,student,democrat
SAL_0241,1,1,"Human-AI, personalized",human,Should Animals Be Used For Scientific Research?,Pro,2,4,5,2,1,1,1,-1,48,170,0.7411764705882353,male,1.0,45-54,black,4,bachelor,employed-wages,democrat
SAL_0242,1,1,"Human-AI, personalized",ai,Should the US Expand (“pack”) the Supreme Court?,Con,1,3,3,3,3,0,0,0,72,159,0.6666666666666666,female,0.0,18-24,white,4,bachelor,employed-wages,democrat
SAL_0243,1,1,"Human-AI, personalized",human,Are Social Media Making People Stupid?,Pro,1,3,4,3,2,1,1,-1,26,98,0.7142857142857143,female,0.0,45-54,black,4,bachelor,employed-wages,republican
SAL_0244,1,1,"Human-AI, personalized",ai,Should there be International Agreements to Enforce Global Climate Change Policies?,Con,3,4,4,4,4,0,0,0,86,208,0.6346153846153846,male,1.0,45-54,white,3,vocational,employed-wages,democrat
SAL_0245,0,0,Human-Human,ai,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Pro,1,3,3,3,3,0,0,0,250,574,0.5052264808362369,male,1.0,25-34,asian,4,bachelor,employed-wages,democrat
SAL_0246,0,0,Human-Human,ai,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Con,4,4,4,4,4,0,0,0,52,170,0.7,other,0.0,25-34,white,5,master,employed-wages,democrat
SAL_0247,1,1,"Human-AI, personalized",human,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,Con,4,1,3,1,3,2,2,2,99,244,0.5204918032786885,male,1.0,25-34,black,2,high-school,unemployed,democrat
SAL_0248,1,0,Human-AI,ai,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Pro,5,4,5,2,1,1,1,-1,29,71,0.7464788732394366,female,0.0,45-54,white,5,master,employed-wages,republican
SAL_0249,1,1,"Human-AI, personalized",ai,Should Transgender People Be Banned From Using Bathrooms Consistent With Their Gender Identity?,Pro,3,1,3,5,3,2,2,-2,85,204,0.47058823529411764,female,0.0,25-34,black,3,vocational,self-employed,democrat
SAL_0250,1,0,Human-AI,ai,Should the Penny Stay in Circulation?,Con,2,3,3,3,3,0,0,0,37,92,0.7391304347826086,female,0.0,35-44,white,2,high-school,self-employed,independent
SAL_0251,0,0,Human-Human,human,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,Pro,5,5,5,1,1,0,0,0,34,84,0.7619047619047619,male,1.0,25-34,black,5,master,employed-wages,independent
SAL_0252,0,0,Human-Human,human,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,Con,4,3,3,3,3,0,0,0,57,183,0.6065573770491803,male,1.0,45-54,white,4,bachelor,employed-wages,independent
SAL_0253,1,1,"Human-AI, personalized",ai,Are Social Media Making People Stupid?,Con,3,4,4,4,4,0,0,0,111,291,0.5120274914089347,female,0.0,35-44,white,6,phd,unemployed,democrat
SAL_0254,1,1,"Human-AI, personalized",ai,Is Artificial Intelligence Good for Society?,Pro,4,3,3,3,3,0,0,0,126,218,0.5963302752293578,female,0.0,25-34,white,5,master,employed-wages,independent
SAL_0255,1,1,"Human-AI, personalized",human,Should Governments Have the Right to Censor the Internet?,Con,3,2,3,2,3,1,1,1,60,203,0.5665024630541872,female,0.0,25-34,white,5,master,employed-wages,democrat
SAL_0256,1,1,"Human-AI, personalized",human,Should the US Keep Using the Electoral College in Presidential Elections?,Pro,4,4,5,2,1,1,1,-1,52,121,0.5950413223140496,male,1.0,55-64,black,4,bachelor,self-employed,democrat
SAL_0257,1,1,"Human-AI, personalized",ai,Should the Penny Stay in Circulation?,Con,1,3,2,3,2,-1,1,-1,108,224,0.5669642857142857,female,0.0,18-24,black,2,high-school,student,democrat
SAL_0258,0,0,Human-Human,ai,Is Government Surveillance Necessary for National Security?,Pro,2,3,3,3,3,0,0,0,28,100,0.73,male,1.0,45-54,white,2,high-school,other,democrat
SAL_0259,0,0,Human-Human,human,Is Government Surveillance Necessary for National Security?,Con,3,5,5,5,5,0,0,0,130,313,0.5399361022364217,female,0.0,45-54,white,3,vocational,self-employed,democrat
SAL_0260,1,0,Human-AI,ai,Should the US Have Mandatory National Service?,Con,3,1,1,1,1,0,0,0,64,137,0.6204379562043796,male,1.0,45-54,white,2,high-school,employed-wages,democrat
SAL_0261,1,0,Human-AI,ai,Is Arts Education as Important as Science and Math in Schools?,Pro,2,3,3,3,3,0,0,0,106,266,0.5451127819548872,female,0.0,25-34,white,4,bachelor,self-employed,republican
SAL_0262,0,0,Human-Human,human,Should Students Have to Wear School Uniforms?,Pro,2,2,3,4,3,1,1,-1,44,136,0.6911764705882353,male,1.0,25-34,white,2,high-school,self-employed,democrat
SAL_0263,0,0,Human-Human,ai,Should Students Have to Wear School Uniforms?,Con,3,1,2,1,2,1,1,1,91,180,0.6388888888888888,male,1.0,35-44,white,4,bachelor,self-employed,republican
SAL_0264,0,0,Human-Human,ai,Should the Penny Stay in Circulation?,Pro,3,4,4,2,2,0,0,0,88,192,0.6041666666666666,other,0.0,45-54,white,2,high-school,unemployed,democrat
SAL_0265,0,0,Human-Human,human,Should the Penny Stay in Circulation?,Con,2,4,2,4,2,-2,2,-2,159,372,0.5403225806451613,male,1.0,18-24,white,2,high-school,student,republican
SAL_0266,1,1,"Human-AI, personalized",ai,Should Animals Be Used For Scientific Research?,Pro,4,3,5,3,1,2,2,-2,99,206,0.558252427184466,male,1.0,55-64,white,4,bachelor,employed-wages,independent
SAL_0267,1,1,"Human-AI, personalized",ai,Should the Rich Pay More Taxes?,Pro,2,4,3,2,3,-1,1,1,59,152,0.6710526315789473,female,0.0,25-34,white,3,vocational,employed-wages,democrat
